company_page,company_name
https://www.dairynews.ru/company/petrovskiy-pz-zao/,"Петровский ПЗ, ЗАО"
https://www.dairynews.ru/company/apkh-lesnaya-dacha-ooo/,"АПХ Лесная Дача, ООО"
https://www.dairynews.ru/company/plemzavod-detskoselskiy-spk/,"Племзавод Детскосельский, СПК"
https://www.dairynews.ru/company/plemzavod-uchebno-opytnoe-khozyaystvo-krasnodarskoe-kgau-/,Племзавод учебно-опытное хозяйство «Краснодарское» КГАУ 
https://www.dairynews.ru/company/agrofirma-amp-quot-patrushi-amp-quot-zao/,"Агрофирма Патруши, ЗАО"
https://www.dairynews.ru/company/niva-kubani-oao/,"Нива Кубани, ОАО"
https://www.dairynews.ru/company/agrokompleks-mayak-zao/,"Агрокомплекс Маяк, ЗАО"
https://www.dairynews.ru/company/plemennoy-zavod-krasnogvardeyskiy/,"Красногвардейский, ОАО ПЗ"
https://www.dairynews.ru/company/baltutino-ooo/,"Балтутино, ООО"
https://www.dairynews.ru/company/agro-neptun-ooo/,"Агро-Нептун, ООО"
https://www.dairynews.ru/company/prigorodnoe-spk-/,"Пригородное, СПК "
https://www.dairynews.ru/company/udmurtiya-ooo/,"Удмуртия, ООО"
https://www.dairynews.ru/company/nevskiy-zao/,"Невский, ЗАО"
https://www.dairynews.ru/company/agropredpriyatie-imeni-kalinina-ooo/,"Агропредприятие имени Калинина, ООО"
https://www.dairynews.ru/company/agrofirma-nemskiy-ao/,"Немский Агрофирма, АО"
https://www.dairynews.ru/company/oshmes-ao/,"Ошмес, АО"
https://www.dairynews.ru/company/ivanovskoe-ao/,"Ивановское, АО"
https://www.dairynews.ru/company/agrofirma-sredneivkino-zao/,"Агрофирма Среднеивкино, ЗАО"
https://www.dairynews.ru/company/veles-gup-so-/,"ВЕЛЕС, ГУП СО "
https://www.dairynews.ru/company/rapti-pz-zao/,"Рапти, ЗАО ПЗ"
https://www.dairynews.ru/company/agrofirma-kolkhoz-put-lenina-ooo/,"Агрофирма колхоз Путь Ленина, ООО"
https://www.dairynews.ru/company/rodina-oao-zao/,"Родина, ОАО"
https://www.dairynews.ru/company/voskhod-ao/,"Восход, АО"
https://www.dairynews.ru/company/ordena-znak-pocheta-zaskh-plemennoe-khozyaystvo-imeni-telmana-/,"Племхоз им. Тельмана, ЗАО"
https://www.dairynews.ru/company/levashovo-megaferma/,"Левашово, мегаферма"
https://www.dairynews.ru/company/plemzavod-krasnyy-mayak-oao/,"Красный Маяк ПЗ, ОАО"
https://www.dairynews.ru/company/agropromyshlennoe-obedinenie-moksha-ooo/,"Агропромышленное объединение ""Мокша"", ООО"
https://www.dairynews.ru/company/aznakay-ooo-agrofirma/,"Азнакай, ООО Агрофирма"
https://www.dairynews.ru/company/shuyskoe-sp-zao-/,"Шуйское, СП АО "
https://www.dairynews.ru/company/agrofirma-lebedevskaya-zao/,"Агрофирма Лебедевская, АО"
https://www.dairynews.ru/company/opole-ao-/,"Ополье, АО "
https://www.dairynews.ru/company/rus-oao/,"Русь, АО"
https://www.dairynews.ru/company/makulovo-megaferma/,"Макулово, мегаферма"
https://www.dairynews.ru/company/sovkhoz-sukholozhskiy-gup-so-/,"Совхоз Сухоложский, ГУП СО "
https://www.dairynews.ru/company/tan-skhpk/,"Тан, СХПК"
https://www.dairynews.ru/company/dubenskiy-spk/,"Дубенский, СПК"
https://www.dairynews.ru/company/novyy-pz-spk/,"Новый, ПЗ СПК"
https://www.dairynews.ru/company/suvorovo-ooo/,"Суворово, ООО"
https://www.dairynews.ru/company/zhvk-rodina-ooo-umk/,ЖВК Родина (ООО УМК)
https://www.dairynews.ru/company/agrokompleks-im-tkacheva-p-p-im-garmasha-i-i/,"Агрокомплекс им.Ткачева, п/п им. Гармаша И.И."
https://www.dairynews.ru/company/zelenogradskoe-zao/,"Зеленоградское, АО"
https://www.dairynews.ru/company/podgortsy-zao/,"Агрофирма Подгорцы, ООО"
https://www.dairynews.ru/company/ilyushinskiy-skhpk/,"Ильюшинский, СХПК"
https://www.dairynews.ru/company/agrofirma-amp-quot-sosnovka-amp-quot-oao/,"Сосновка, ОАО Агрофирма"
https://www.dairynews.ru/company/leontevo-zao/,"Леонтьево, ЗАО"
https://www.dairynews.ru/company/plemsovkhoz-megrega-oao/,"Племсовхоз Мегрега, ОАО"
https://www.dairynews.ru/company/rodina-ooo-moskovskaya-obl/,"Родина, ООО (Московская обл)"
https://www.dairynews.ru/company/suvorovskoe-zao/,"Суворовское, ЗАО"
https://www.dairynews.ru/company/belgrankorm-ooo/,"Белгранкорм, ООО"
https://www.dairynews.ru/company/imeni-kirova-zao novosib/,"Имени Кирова, ЗАО"
https://www.dairynews.ru/company/imeni-t-g-shevchenko-zao/,"Имени Т.Г.Шевченко, ЗАО"
https://www.dairynews.ru/company/padunskoe-zao/,"Падунское, ЗАО"
https://www.dairynews.ru/company/novopyshminskoe-zao/,"Новопышминское, ООО"
https://www.dairynews.ru/company/zalesskoe-moloko-zao/,"Залесское молоко, ЗАО"
https://www.dairynews.ru/company/plemzavod-rossiya-oao/,"Племзавод Россия, ОАО"
https://www.dairynews.ru/company/kirova-im-skhpk/,"Кирова им., СХПК"
